animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,response.rt,wrong.started,wrong.stopped,right.started,right.stopped,timedout.started,timedout.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.939143900002819,9.939143900002819,space,1.3086053999868454,,,,,,,,,,,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
dog1.jpg,dog,d,0,0,0,5,,,,,0.01840870000887662,11.828938699996797,11.828938699996797,c,0,0.790945799992187,12.660176100005629,14.661814799997956,,,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
cat4.jpg,cat,c,0,1,1,3,,,,,0.0005969000048935413,15.161938600009307,15.161938600009307,c,1,0.8984190999908606,,,16.07718670000031,18.092067200006568,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
cat1.jpg,cat,c,0,2,2,0,,,,,0.00044010000419802964,18.593316500002402,18.593316500002402,None,0,,,,,,20.60715730000811,22.61860240000533,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
dog5.jpg,dog,d,0,3,3,9,,,,,0.0016792000096756965,23.118484799997532,23.118484799997532,d,1,0.9037306999962311,,,24.049452799998107,26.063133400006336,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
dog4.jpg,dog,d,0,4,4,8,,,,,0.0008383000094909221,26.562684300006367,26.562684300006367,d,1,0.7939955999900121,,,27.377673800001503,29.392596400008188,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
cat2.jpg,cat,c,0,5,5,1,,,,,0.00043759999971371144,29.89257820000057,29.89257820000057,c,1,0.6285448999842629,,,30.554967999996734,32.557912200005376,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
dog2.jpg,dog,d,0,6,6,6,,,,,0.0004899000050500035,33.05757980000635,33.05757980000635,d,1,0.7468247999931918,,,33.824025599999004,35.833664500009036,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
cat3.jpg,cat,c,0,7,7,2,,,,,0.0005596999981207773,36.33441440000024,36.33441440000024,c,1,1.0267691999761155,,,37.380715200008126,39.39578330000222,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
cat5.jpg,cat,c,0,8,8,4,,,,,0.0006068999937269837,39.895563400001265,39.895563400001265,c,1,1.0219347999955062,,,40.94412710001052,42.943519799999194,,,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
dog3.jpg,dog,d,0,9,9,7,,,,,0.00046350000775419176,43.459490100009134,43.459490100009134,None,0,,,,,,45.474868300007074,47.48561670001072,415447,001,2022-07-03_04h21.25.506,file6,2022.2.0,60.18574524425547,
