animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,response.rt,correct_feedback.started,correct_feedback.stopped,wrong_feedback.started,wrong_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.598176300001796,7.598176300001796,space,0.7005304000049364,,,,,,,,,,,218474,001,2022-07-03_04h06.42.057,file6,2022.2.0,59.957502119976255,
dog5.jpg,dog,d,0,0,0,9,,,,,0.011308899993309751,8.87598130000697,8.87598130000697,d,1,0.9633090999996057,9.873830800002906,11.876155300007667,,,218474,001,2022-07-03_04h06.42.057,file6,2022.2.0,59.957502119976255,
cat5.jpg,cat,c,0,1,1,4,,,,,0.0004135000053793192,12.375582100008614,12.375582100008614,c,1,0.6579184000001987,13.058114600004046,15.05755230000068,,,218474,001,2022-07-03_04h06.42.057,file6,2022.2.0,59.957502119976255,
dog4.jpg,dog,d,0,2,2,8,,,,,0.00043729999742936343,15.573145100002876,15.573145100002876,None,0,,,,17.584246900005382,19.59837089999928,218474,001,2022-07-03_04h06.42.057,file6,2022.2.0,59.957502119976255,
cat4.jpg,cat,c,0,3,3,3,,,,,0.0014691000105813146,20.099177500000224,20.099177500000224,None,0,,,,22.113127300006454,24.12692429999879,218474,001,2022-07-03_04h06.42.057,file6,2022.2.0,59.957502119976255,
cat1.jpg,cat,c,0,4,4,0,,,,,0.00046290000318549573,24.606485500000417,24.606485500000417,d,0,1.6499604000127874,,,26.27476210000168,28.27200779999839,218474,001,2022-07-03_04h06.42.057,file6,2022.2.0,59.957502119976255,
,,,,,,,,,,,0.0006386000022757798,28.76662049999868,28.76662049999868,c,0,0.7961040000081994,,,29.585828700001002,,,,,,,,
