animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,response.rt,text.started,rtmess.started,acmess.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.992239800005336,8.992239800005336,space,0.838852599990787,,,,,,,,,,418065,001,2022-07-03_04h46.57.632,file7,2022.2.0,60.009349456230076,
dog5.jpg,dog,d,0,0,0,9,,,,,0.014871499995933846,10.400832100000116,10.400832100000116,d,1,1.6218563000002177,12.078133000002708,14.09205920000386,14.09205920000386,418065,001,2022-07-03_04h46.57.632,file7,2022.2.0,60.009349456230076,
dog3.jpg,dog,d,0,1,1,7,,,,,0.008403500003623776,17.538164300000062,17.538164300000062,d,1,1.9681106000061845,19.537562000012258,21.551886600005673,21.551886600005673,418065,001,2022-07-03_04h46.57.632,file7,2022.2.0,60.009349456230076,
dog2.jpg,dog,d,0,2,2,6,,,,,0.0071047999954316765,25.012442400009604,25.012442400009604,c,0,1.4350459999986924,26.475741500005824,28.50672060000943,28.50672060000943,418065,001,2022-07-03_04h46.57.632,file7,2022.2.0,60.009349456230076,
,,,,,,,,,,,0.003791099996306002,,,,,,,,,,,,,,,
