animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,response.rt,text.started,rtmess.started,acmess.started,stimulus.stopped,response.stopped,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.101605300005758,9.101605300005758,space,1.447159899995313,,,,,,,,,,,,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
dog4.jpg,dog,d,0,0,0,8,,,,,0.018785100008244626,11.123417299997527,11.123417299997527,d,1,1.8366088999900967,13.003673300001537,15.035898300004192,15.035898300004192,,,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
dog2.jpg,dog,d,0,1,1,6,,,,,0.012154999989434145,18.48167409999587,18.48167409999587,c,0,1.1455998000019463,19.661154400004307,21.691801199995098,21.691801199995098,,,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
cat3.jpg,cat,c,0,2,2,2,,,,,0.0010608000011416152,25.158471200003987,25.158471200003987,d,0,1.69358830001147,26.886442700008047,28.90135709999595,28.90135709999595,,,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
dog5.jpg,dog,d,0,3,3,9,,,,,0.008955700002843514,32.362276400002884,32.362276400002884,None,0,,34.37490150000667,36.40594530000817,36.40594530000817,34.37490150000667,34.37490150000667,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
cat4.jpg,cat,c,0,4,4,3,,,,,0.0050312999956076965,39.85214719999931,39.85214719999931,None,0,,41.854967200008105,43.88229520000459,43.88229520000459,41.854967200008105,41.854967200008105,43.88229520000459,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
dog3.jpg,dog,d,0,5,5,7,,,,,0.007512299998779781,47.34197750000749,47.34197750000749,None,0,,49.342193799995584,51.35339610000665,51.35339610000665,49.342193799995584,49.342193799995584,51.35339610000665,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
cat1.jpg,cat,c,0,6,6,0,,,,,0.005390299993450753,54.85498990000633,54.85498990000633,None,0,,56.85411899999599,58.87603719999606,58.87603719999606,,,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
cat5.jpg,cat,c,0,7,7,4,,,,,0.0040576000028522685,62.338824999998906,62.338824999998906,None,0,,64.3398004000046,66.35159269999713,66.35159269999713,64.3398004000046,64.3398004000046,66.35159269999713,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
cat2.jpg,cat,c,0,8,8,1,,,,,0.00748280000698287,69.85054240000318,69.85054240000318,None,0,,71.84866709999915,73.88983369999914,73.88983369999914,,,,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
dog1.jpg,dog,d,0,9,9,5,,,,,0.009010699999635108,77.33672669999942,77.33672669999942,None,0,,79.3375412000023,81.34982129999844,81.34982129999844,79.3375412000023,79.3375412000023,81.34982129999844,204564,001,2022-07-03_04h48.56.876,file7,2022.2.0,60.03813622795631,
