27.8280 	EXP 	New trial (rep=0, index=5): {'animal_image': 'cat1.jpg', 'animal_type': 'cat', 'expected_answer': 'c'}
27.8282 	EXP 	window1: recordFrameIntervals = False
27.8437 	EXP 	text: autoDraw = False
27.8616 	EXP 	window1: recordFrameIntervals = False
28.3235 	EXP 	stimulus: image = 'cat1.jpg'
28.3235 	EXP 	stimulus: autoDraw = True
29.0840 	DATA 	Keypress: c
29.0936 	EXP 	stimulus: autoDraw = False
29.0936 	EXP 	text: text = 'CORRECT!'
29.0936 	EXP 	text: autoDraw = True
31.0909 	EXP 	New trial (rep=0, index=6): {'animal_image': 'dog1.jpg', 'animal_type': 'dog', 'expected_answer': 'd'}
31.0911 	EXP 	window1: recordFrameIntervals = False
31.1098 	EXP 	text: autoDraw = False
31.1277 	EXP 	window1: recordFrameIntervals = False
31.5863 	EXP 	stimulus: image = 'dog1.jpg'
31.6075 	EXP 	stimulus: autoDraw = True
32.3710 	DATA 	Keypress: c
32.3861 	EXP 	stimulus: autoDraw = False
32.3861 	EXP 	text: height = 0.05
32.3861 	EXP 	text: height = 0.05
32.3861 	EXP 	text: height = 0.05
32.3861 	EXP 	text: text = 'Wrong!'
32.3861 	EXP 	text: autoDraw = True
34.3712 	EXP 	New trial (rep=0, index=7): {'animal_image': 'dog5.jpg', 'animal_type': 'dog', 'expected_answer': 'd'}
34.3716 	EXP 	window1: recordFrameIntervals = False
34.3867 	EXP 	text: autoDraw = False
34.4061 	EXP 	window1: recordFrameIntervals = False
34.8655 	EXP 	stimulus: image = 'dog5.jpg'
34.8655 	EXP 	stimulus: autoDraw = True
35.7737 	DATA 	Keypress: c
35.7843 	EXP 	stimulus: autoDraw = False
35.7843 	EXP 	text: text = 'Wrong!'
35.7843 	EXP 	text: autoDraw = True
37.7840 	EXP 	New trial (rep=0, index=8): {'animal_image': 'dog2.jpg', 'animal_type': 'dog', 'expected_answer': 'd'}
37.7844 	EXP 	window1: recordFrameIntervals = False
37.7972 	EXP 	text: autoDraw = False
37.8181 	EXP 	window1: recordFrameIntervals = False
38.2768 	EXP 	stimulus: image = 'dog2.jpg'
38.2768 	EXP 	stimulus: autoDraw = True
40.2905 	EXP 	stimulus: autoDraw = False
40.2905 	EXP 	stimulus: autoDraw = False
40.2905 	EXP 	text: height = 0.05
40.2905 	EXP 	text: height = 0.05
40.2905 	EXP 	text: height = 0.05
40.2905 	EXP 	text: text = 'Timed out - please respond faster!'
40.2905 	EXP 	text: autoDraw = True
42.2768 	EXP 	New trial (rep=0, index=9): {'animal_image': 'dog4.jpg', 'animal_type': 'dog', 'expected_answer': 'd'}
42.2770 	EXP 	window1: recordFrameIntervals = False
42.2926 	EXP 	text: autoDraw = False
42.3125 	EXP 	window1: recordFrameIntervals = False
42.7726 	EXP 	stimulus: image = 'dog4.jpg'
42.7726 	EXP 	stimulus: autoDraw = True
43.4061 	DATA 	Keypress: c
43.4203 	EXP 	stimulus: autoDraw = False
43.4203 	EXP 	text: height = 0.05
43.4203 	EXP 	text: height = 0.05
43.4203 	EXP 	text: height = 0.05
43.4203 	EXP 	text: text = 'Wrong!'
43.4203 	EXP 	text: autoDraw = True
43.4774 	DATA 	Keypress: d
45.4231 	EXP 	text: autoDraw = False
45.4798 	EXP 	window1: mouseVisible = True
