animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,response.rt,text.started,rtmess.started,acmess.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,11.186316799998167,11.186316799998167,space,1.146888899995247,,,,,,,,,,339036,001,2022-07-03_04h45.42.091,file7,2022.2.0,59.58559410905291,
cat1.jpg,cat,c,0,0,0,0,,,,,0.015219900000374764,12.892630999995163,12.892630999995163,c,1,0.8384531000046991,13.790532500002882,15.775057399994694,15.775057399994694,339036,001,2022-07-03_04h45.42.091,file7,2022.2.0,59.58559410905291,
dog1.jpg,dog,d,0,1,1,5,,,,,0.0039007999876048416,19.252037999991444,19.252037999991444,d,1,1.3486654000007547,20.63444310000341,22.681594399997266,22.681594399997266,339036,001,2022-07-03_04h45.42.091,file7,2022.2.0,59.58559410905291,
,,,,,,,,,,,0.006963100007851608,26.10849820000294,26.10849820000294,d,1,1.2312437999935355,27.360268799995538,29.3868211999943,29.3868211999943,,,,,,,
