animal_image,animal_type,expected_answer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,intro_text.started,intro_dismiss.started,intro_dismiss.keys,intro_dismiss.rt,ISI.started,stimulus.started,response.started,response.keys,response.corr,response.rt,text.started,stimulus.stopped,response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,9.056176300000516,9.056176300000516,space,0.5821025000041118,,,,,,,,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
cat3.jpg,cat,c,0,0,0,2,,,,,0.010148100001970306,10.214877799997339,10.214877799997339,c,1,0.693641399993794,10.945321999999578,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
cat4.jpg,cat,c,0,1,1,3,,,,,0.012339799999608658,13.426446500001475,13.426446500001475,c,1,0.7314015000010841,14.178900900005829,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
dog3.jpg,dog,d,0,2,2,7,,,,,0.009768599993549287,16.67276380000112,16.67276380000112,c,0,1.467441200002213,18.17007389999344,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
cat2.jpg,cat,c,0,3,3,1,,,,,0.015234599995892495,20.653120799994213,20.653120799994213,None,0,,22.6633487999934,22.6633487999934,22.6633487999934,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
cat5.jpg,cat,c,0,4,4,4,,,,,0.012480599994887598,25.144660599995404,25.144660599995404,c,1,0.6673935999860987,25.842459899999085,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
cat1.jpg,cat,c,0,5,5,0,,,,,0.009146800002781674,28.323467499998515,28.323467499998515,c,1,0.7503785000008065,29.093619099992793,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
dog1.jpg,dog,d,0,6,6,5,,,,,0.01185579999582842,31.607474000004004,31.607474000004004,c,0,0.7426032000075793,32.38607029999548,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
dog5.jpg,dog,d,0,7,7,9,,,,,0.011444199990364723,34.8655454999971,34.8655454999971,c,0,0.8897136000014143,35.784301899999264,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
dog2.jpg,dog,d,0,8,8,6,,,,,0.012758700002450496,38.27684639999643,38.27684639999643,None,0,,40.29054339999857,40.29054339999857,40.29054339999857,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
dog4.jpg,dog,d,0,9,9,8,,,,,0.012954699996043928,42.77258930000244,42.77258930000244,c,0,0.6169923999987077,43.420329999993555,,,110771,001,2022-07-03_03h52.53.377,file5,2022.2.0,59.93033697608789,
